exp_id,residuals,dir1,dir2,log(loss),accuracy
1,TRUE,-0.4,-1,0.7319942667,94.11%
1,TRUE,-0.4,-0.8,0.6505590951,94.11%
1,TRUE,-0.4,-0.6,0.5040594649,94.11%
1,TRUE,-0.4,-0.4,0.251203344,94.11%
1,TRUE,-0.4,-0.2,-0.0335174038,94.11%
1,TRUE,-0.4,0,-0.1472672345,94.11%
1,TRUE,-0.4,0.2,0.02827589518,94.11%
1,TRUE,-0.4,0.4,0.409465629,94.11%
1,TRUE,-0.4,0.6,0.6947680699,94.11%
1,TRUE,-0.4,0.8,0.846151312,94.11%
1,TRUE,-0.4,1,0.9140603702,94.11%
1,TRUE,-0.2,-1,0.675773637,94.11%
1,TRUE,-0.2,-0.8,0.5759989697,94.11%
1,TRUE,-0.2,-0.6,0.3499076376,94.11%
1,TRUE,-0.2,-0.4,-0.04631569387,94.11%
1,TRUE,-0.2,-0.2,-0.3616800076,94.11%
1,TRUE,-0.2,0,-0.4520552825,94.11%
1,TRUE,-0.2,0.2,-0.2919560442,94.11%
1,TRUE,-0.2,0.4,0.151746572,94.11%
1,TRUE,-0.2,0.6,0.6011726655,94.11%
1,TRUE,-0.2,0.8,0.8138325558,94.11%
1,TRUE,-0.2,1,0.9252941581,94.11%
1,TRUE,0,-1,0.6961411766,94.11%
1,TRUE,0,-0.8,0.6349957134,94.11%
1,TRUE,0,-0.6,0.3499302669,94.11%
1,TRUE,0,-0.4,-0.1408197021,94.11%
1,TRUE,0,-0.2,-0.4630088471,94.11%
1,TRUE,0,0,-0.5401493104,94.11%
1,TRUE,0,0.2,-0.4328233093,94.11%
1,TRUE,0,0.4,-0.01300886844,94.11%
1,TRUE,0,0.6,0.5497492255,94.11%
1,TRUE,0,0.8,0.8167929856,94.11%
1,TRUE,0,1,0.9366822709,94.11%
1,TRUE,0.2,-1,0.6798321817,94.11%
1,TRUE,0.2,-0.8,0.6935577152,94.11%
1,TRUE,0.2,-0.6,0.5008624708,94.11%
1,TRUE,0.2,-0.4,0.01219243446,94.11%
1,TRUE,0.2,-0.2,-0.3621373599,94.11%
1,TRUE,0.2,0,-0.4781732804,94.11%
1,TRUE,0.2,0.2,-0.3982641673,94.11%
1,TRUE,0.2,0.4,0.01283104162,94.11%
1,TRUE,0.2,0.6,0.5586275968,94.11%
1,TRUE,0.2,0.8,0.8241918476,94.11%
1,TRUE,0.2,1,0.9032587567,94.11%
1,TRUE,0.4,-1,0.6727447353,94.11%
1,TRUE,0.4,-0.8,0.7236323613,94.11%
1,TRUE,0.4,-0.6,0.6435948249,94.11%
1,TRUE,0.4,-0.4,0.3100519548,94.11%
1,TRUE,0.4,-0.2,-0.07313256164,94.11%
1,TRUE,0.4,0,-0.2256745408,94.11%
1,TRUE,0.4,0.2,-0.1457588796,94.11%
1,TRUE,0.4,0.4,0.221749174,94.11%
1,TRUE,0.4,0.6,0.5979482645,94.11%
1,TRUE,0.4,0.8,0.851626264,94.11%
1,TRUE,0.4,1,0.8537806916,94.11%
1,TRUE,0.6,-1,0.6854140777,94.11%
1,TRUE,0.6,-0.8,0.7528887497,94.11%
1,TRUE,0.6,-0.6,0.7763723105,94.11%
1,TRUE,0.6,-0.4,0.6391386228,94.11%
1,TRUE,0.6,-0.2,0.4061003612,94.11%
1,TRUE,0.6,0,0.2924063496,94.11%
1,TRUE,0.6,0.2,0.3661860115,94.11%
1,TRUE,0.6,0.4,0.5319209791,94.11%
1,TRUE,0.6,0.6,0.6671371622,94.11%
1,TRUE,0.6,0.8,0.8590203916,94.11%
1,TRUE,0.6,1,0.782188557,94.11%
1,TRUE,0.8,-1,0.7194675246,94.11%
1,TRUE,0.8,-0.8,0.7524066841,94.11%
1,TRUE,0.8,-0.6,0.829804081,94.11%
1,TRUE,0.8,-0.4,0.8047563858,94.11%
1,TRUE,0.8,-0.2,0.727203772,94.11%
1,TRUE,0.8,0,0.6768766186,94.11%
1,TRUE,0.8,0.2,0.6986336827,94.11%
1,TRUE,0.8,0.4,0.7516217194,94.11%
1,TRUE,0.8,0.6,0.7639769837,94.11%
1,TRUE,0.8,0.8,0.7503302914,94.11%
1,TRUE,0.8,1,0.7685676255,94.11%
1,TRUE,1,-1,0.9426617801,94.11%
1,TRUE,1,-0.8,0.7587532745,94.11%
1,TRUE,1,-0.6,0.8051141123,94.11%
1,TRUE,1,-0.4,0.8056778672,94.11%
1,TRUE,1,-0.2,0.7774378868,94.11%
1,TRUE,1,0,0.7417754607,94.11%
1,TRUE,1,0.2,0.7205261948,94.11%
1,TRUE,1,0.4,0.7277422058,94.11%
1,TRUE,1,0.6,0.6776510612,94.11%
1,TRUE,1,0.8,0.7324035303,94.11%
1,TRUE,1,1,1.087978876,94.11%
2,TRUE,-1,-1,1.220582699,94.11%
2,TRUE,-1,-0.9333333333,0.9982218026,94.11%
2,TRUE,-1,-0.8666666667,0.7795789579,94.11%
2,TRUE,-1,-0.8,0.6586689607,94.11%
2,TRUE,-1,-0.7333333333,0.6474991191,94.11%
2,TRUE,-1,-0.6666666667,0.6561558236,94.11%
2,TRUE,-1,-0.6,0.6725414902,94.11%
2,TRUE,-1,-0.5333333333,0.6938860964,94.11%
2,TRUE,-1,-0.4666666667,0.7137700591,94.11%
2,TRUE,-1,-0.4,0.7336880037,94.11%
2,TRUE,-1,-0.3333333333,0.7493719442,94.11%
2,TRUE,-1,-0.2666666667,0.7572361499,94.11%
2,TRUE,-1,-0.2,0.7565515131,94.11%
2,TRUE,-1,-0.1333333333,0.7504990691,94.11%
2,TRUE,-1,-0.06666666667,0.7435981618,94.11%
2,TRUE,-1,0,0.7417116223,94.11%
2,TRUE,-1,0.06666666667,0.7436972251,94.11%
2,TRUE,-1,0.1333333333,0.7460936173,94.11%
2,TRUE,-1,0.2,0.7431701833,94.11%
2,TRUE,-1,0.2666666667,0.7320999456,94.11%
2,TRUE,-1,0.3333333333,0.715676257,94.11%
2,TRUE,-1,0.4,0.6977624358,94.11%
2,TRUE,-1,0.4666666667,0.6805209686,94.11%
2,TRUE,-1,0.5333333333,0.6729821572,94.11%
2,TRUE,-1,0.6,0.6827011265,94.11%
